                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0587,                 2.9722,                 1.3366,                0.52329,                0.53571,                0.54862,                0.35988,                 1.7428,                 8.1449,                  2.218,             0.00046442,             0.00046442,             0.00046442
                      2,                 1.2292,                 2.8742,                 1.4074,                0.98502,                    0.5,                0.50218,                0.34113,                 2.1933,                 10.474,                 2.7859,             0.00092213,             0.00092213,             0.00092213
                      3,                 1.4278,                 3.2795,                 1.6013,                0.02078,                0.32143,                0.02274,                0.00656,                  2.226,                 60.335,                 2.5951,               0.001361,               0.001361,               0.001361
                      4,                 1.7341,                 3.2626,                 1.8289,                0.37218,                0.46667,                0.42731,                0.14304,                  2.431,                 46.276,                 3.2712,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.736,                 3.0564,                 1.8885,                0.24335,                0.60858,                0.26923,                0.14959,                 2.1238,                 158.15,                 3.9866,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.6128,                 5.2688,                 1.8464,                0.10963,                0.60714,                0.43434,                0.26722,                  2.039,                 28.991,                 2.6256,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.8687,                 4.0243,                 2.0347,                0.00265,                0.64286,                 0.0133,                0.00377,                 2.4403,                 12.765,                 2.7925,              0.0012875,              0.0012875,              0.0012875
                      8,                 2.0943,                 2.7998,                 2.1775,                0.99395,                    0.5,                 0.5023,                0.32716,                 2.3373,                 14.067,                 3.0102,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.7729,                 2.3208,                 1.8756,                0.00876,                    0.5,                0.01438,                  0.008,                 2.4496,                 109.35,                 2.4581,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.7366,                 2.4049,                 1.8719,                0.05621,                0.26667,                0.05443,                0.03581,                 2.2287,                  57.94,                 2.4192,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.7635,                 2.1342,                 1.8543,                0.46838,                0.49414,                0.49705,                0.24642,                  2.523,                 16.519,                 3.0169,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.8112,                 2.3765,                 1.8817,                0.00256,                    0.4,                0.00225,                0.00152,                  2.234,                 234.64,                 3.5207,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.6534,                 2.1847,                 1.8214,                0.99582,                    0.5,                0.49759,                0.32852,                 2.2369,                 19.204,                 3.0469,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.4704,                 2.0375,                 1.6884,                0.49705,                    0.5,                0.49886,                0.34166,                 2.1553,                 6.9385,                 2.7303,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.5776,                 2.2665,                 1.7518,                0.99667,                    0.5,                0.50188,                 0.3335,                 1.8123,                 4.6889,                 1.9377,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.7957,                 2.2485,                 1.8203,                 0.9979,                    0.5,                0.49922,                0.39267,                 2.3229,                 5.9943,                 2.7432,              0.0010329,              0.0010329,              0.0010329
                     17,                  1.705,                  2.068,                 1.7984,                0.49797,                    0.5,                0.49864,                0.38369,                 2.1055,                 21.411,                 2.7713,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.5252,                 1.8368,                 1.6816,                  0.993,                    0.5,                0.50024,                0.32392,                 2.1042,                  19.52,                 2.4869,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.4706,                 1.8166,                 1.6349,                0.99213,                    0.5,                0.50088,                0.29851,                 2.1288,                 11.839,                 2.6937,               0.000948,               0.000948,               0.000948
                     20,                  1.504,                 1.8779,                 1.6781,                0.99786,                    0.5,                0.49839,                0.35889,                 2.0319,                 5.2909,                 2.2381,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.4067,                 1.6175,                 1.6668,                 0.9975,                    0.5,                0.49799,                0.35806,                 2.0943,                 4.8522,                 2.3905,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.4059,                 1.5727,                 1.5996,                0.99805,                    0.5,                 0.4983,                0.37092,                 1.9959,                 4.6321,                 2.2509,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.3814,                 1.7127,                  1.621,                0.99825,                    0.5,                0.49856,                0.33421,                 2.1716,                 3.2904,                 2.3664,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.4457,                 1.7269,                 1.7161,                0.99727,                    0.5,                0.50722,                0.31686,                 2.0683,                 3.0097,                 2.0881,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.3152,                 1.5923,                 1.5233,                0.97986,                    0.5,                0.52132,                0.35959,                 1.9967,                 3.2858,                 2.1511,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.3396,                 1.5796,                 1.6198,                0.99807,                    0.5,                0.52793,                0.36419,                 2.0025,                 2.7696,                 2.1121,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.3997,                 1.7347,                 1.6442,                0.46943,                    0.5,                 0.5311,                0.35716,                 1.9209,                 3.3762,                 2.0173,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.3882,                 1.6221,                 1.6479,                0.99545,                    0.5,                  0.515,                 0.3794,                 1.7213,                 4.2952,                 1.8046,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.3127,                 1.5389,                 1.5774,                0.98964,                    0.5,                0.51249,                 0.3864,                 1.7505,                 3.2517,                 1.8307,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.2605,                 1.5112,                 1.5521,                0.99523,                    0.5,                0.51198,                0.39393,                 1.6885,                 3.0615,                  1.863,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.2262,                  1.425,                 1.5084,                0.99763,                    0.5,                0.50589,                0.38747,                 1.7618,                 3.4446,                  2.032,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.3331,                 1.6593,                 1.5846,                0.99763,                    0.5,                0.50029,                0.38137,                 1.7753,                 2.9306,                 2.0045,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.2439,                 1.5347,                 1.4983,                0.99789,                    0.5,                 0.5045,                0.37642,                 1.7414,                 2.5756,                 2.0083,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.1517,                 1.3683,                 1.4835,                0.99742,                    0.5,                 0.5102,                0.36156,                 1.9409,                 2.8969,                 2.2642,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.2799,                 1.4369,                 1.5497,                0.99805,                    0.5,                0.50626,                0.37712,                  1.603,                 3.3179,                 2.0723,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.2816,                 1.4371,                 1.5608,                0.99756,                    0.5,                  0.509,                0.39598,                 1.5634,                 2.8101,                 1.9571,               0.000467,               0.000467,               0.000467
                     37,                 1.1939,                 1.2905,                 1.4905,                0.99753,                    0.5,                0.51367,                0.39815,                 1.6096,                 2.6212,                 1.9319,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1971,                 1.3577,                 1.5193,                0.99709,                    0.5,                0.56718,                0.42047,                 1.6594,                 3.3201,                  1.965,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2133,                 1.3263,                 1.4638,                0.99718,                    0.5,                 0.5828,                0.43081,                 1.6212,                 3.6568,                 1.9787,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1921,                 1.2934,                 1.4763,                0.99701,                    0.5,                0.61429,                0.46284,                 1.5693,                 3.5356,                  1.956,             0.00035382,             0.00035382,             0.00035382
                     41,                  1.042,                 1.1224,                 1.4051,                0.99762,                    0.5,                 0.5286,                0.40162,                 1.5368,                 3.5076,                 1.9646,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.0159,                 1.0077,                 1.3846,                0.99765,                    0.5,                0.52252,                0.38379,                 1.6616,                 3.3961,                 2.0087,             0.00029723,             0.00029723,             0.00029723
                     43,                0.96759,                0.99114,                 1.3865,                0.99751,                    0.5,                0.52223,                0.37374,                 1.6184,                 3.0261,                  2.057,             0.00026894,             0.00026894,             0.00026894
                     44,                0.96042,                 1.0193,                 1.3685,                0.99772,                    0.5,                0.51304,                 0.3425,                 1.9032,                 2.6726,                 2.1804,             0.00024064,             0.00024064,             0.00024064
                     45,                0.92034,                0.88966,                 1.3062,                 0.9978,                    0.5,                0.51324,                0.34492,                 1.9319,                   2.57,                 2.2273,             0.00021235,             0.00021235,             0.00021235
                     46,                0.96856,                0.91786,                 1.3456,                0.99782,                    0.5,                0.51404,                0.35388,                 1.8917,                 2.5101,                 2.1577,             0.00018406,             0.00018406,             0.00018406
                     47,                0.95824,                0.96413,                 1.3753,                0.99779,                    0.5,                 0.5115,                0.37116,                 1.7759,                 2.5703,                  2.058,             0.00015576,             0.00015576,             0.00015576
                     48,                0.93742,                0.92457,                 1.3458,                0.99795,                    0.5,                0.50999,                0.37385,                  1.739,                 2.5545,                 1.9784,             0.00012747,             0.00012747,             0.00012747
                     49,                0.86985,                0.88366,                 1.2705,                0.99804,                    0.5,                0.50555,                0.38193,                 1.7401,                  2.665,                 1.9654,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.84612,                0.83803,                 1.2762,                0.99806,                    0.5,                0.50907,                0.38714,                 1.7069,                 2.5989,                 1.9622,             7.0878e-05,             7.0878e-05,             7.0878e-05
